label,text
count,on usa air how many flights leaving oakland on july twenty seventh to boston nonstop
flight_id,what is the earliest flight from boston to atlanta
flight_id,all flights from denver to philadelphia
flight_id,flights from cleveland to kansas city
fare_id,show me the first class fares from baltimore to dallas
flight_id,find travel arrangements for a round trip flight from baltimore to pittsburgh
flight_id,show me flights from pittsburgh to san francisco on sunday
flight_id,show me flights between new york city and las vegas on sunday
flight_id,what flights do you have from burbank to tacoma washington
flight_id,show flights from pittsburgh to oakland
airline_code,show me airline abbreviations
flight_id,show me all the available flights from baltimore to dallas with economy fares
fare_basis_code,is fare code b the same as business class
flight_id,all flights and fares from atlanta to dallas round trip after 12pm less than 1100 dollars
flight_id,show me all flights from san francisco to oakland
flight_id,i need flight information leaving atlanta and arriving in baltimore for monday
flight_id,i need to spend much of a day on the ground in atlanta find me an early flight from boston and the lastest possible flight back from atlanta
flight_id,show me all flights from san francisco to denver
flight_id,list all flights from burbank to denver
flight_id,show me all united airlines first class flights
flight_id,latest flight from houston to san jose
transport_type,what ground transportation is available at the atlanta airport
flight_id,i need a flight tonight from charlotte to las vegas with a stop in st. louis and i want dinner
flight_id,show me the one way flight from detroit to westchester county with the highest fare
flight_id,which northwest and united flights go through denver before noon
fare_id,what are the most expensive first class tickets between atlanta and dallas
flight_id,i'd like to book a flight from san diego to toronto
flight_id,what are the flights between pittsburgh and san francisco
flight_id,show all tuesday morning flights from pittsburgh to denver
flight_id,what are the early weekday flights from san francisco to pittsburgh
aircraft_code,i would like to know what type of aircraft will be used on the morning of july seventh from atlanta to boston
flight_id,show flights from cleveland to miami that arrive before 4pm
flight_id,list flights from philadelphia to san francisco thursday
aircraft_code,how many passengers can a boeing 737 hold
flight_id,list all flights from long beach to columbus late saturday
transport_type,ground transportation denver
flight_id,list all flights departing from general mitchell
flight_id,i would like to find a flight that goes from la guardia airport to san jose i would like the flight to be on united airlines and arrive in san jose around 10pm
flight_id,i would like a flight leaving from boston arriving in san francisco with a stopover in atlanta
flight_id,please list all the takeoffs and landings for general mitchell international
flight_id,first class from detroit to st. petersburg
miles_distant,what is the distance from toronto international airport to toronto
flight_id,all flights from cleveland to newark
flight_id,show me all the flights from indianapolis to san diego on us air
flight_id,okay i want a flight originating in denver going to pittsburgh
minimum_connect_time,what is the minimum connection time for houston intercontinental
fare_id,i'd like a ticket on a plane from denver to atlanta i would like a coach class or lowest fare ticket
fare_id,could you please tell me the cheapest fare from atlanta to boston
flight_id,i would like an early morning flight from chicago into seattle on june first on continental airline
flight_id,list all flights arriving and departing at general mitchell international
flight_id,show me all flights on us airlines from boston to oakland california which leave after 11 o'clock am
transport_type,show me ground transportation in westchester county
flight_id,flights from pittsburgh to newark
airline_code,which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth
flight_id,flights from washington dc to denver
fare_id,what is the cheapest one way fare between boston and oakland
transport_type,please give grounds transportation at dallas airport
flight_id,nonstop flights from new york city to las vegas on sunday
flight_id,i need a nonstop flight from san diego to phoenix
flight_id,what are the flights from milwaukee to orlando on wednesday
flight_id,i need a flight from philadelphia to dallas next wednesday in the morning
transport_type,what ground transportation is available in san francisco
flight_id,what northwest airlines flights leave denver before noon
flight_id,okay can you tell me the earliest flight which leaves from philadelphia to dallas
flight_id,what are the flights from boston to san francisco
transport_type,ground transportation washington
flight_id,what are the flights from boston to washington on october fifteenth 1991
flight_id,show me the flights on delta to atlanta in the morning
flight_id,what is the first flight after 12 noon from washington for denver
flight_id,what do you have going from atlanta to philadelphia serving breakfast
flight_id,list flights from pittsburgh to baltimore on thursday morning nonstop
flight_id,i'd like to fly from denver to pittsburgh to atlanta could you find me the cheapest way to do this
flight_id,all flights pittsburgh to baltimore on thursday arrival by 10am
flight_id,what northwest flights leave denver before noon
flight_id,show me the flights from washington dc to san francisco with a stopover in denver
day_name,what is sa
flight_id,i would like to find flights from minneapolis to long beach after 4 o'clock on monday june fourteenth please
flight_id,show me one way flights from tampa to st. louis departing before 10am
fare_id,what is the fare from boston to oakland on united airlines
flight_id,find me a flight from boston to san francisco with layover in denver on united
flight_id,what is the last flight from washington to boston
flight_id,i need to make reservations from denver to boston
transport_type,show ground transportation for pittsburgh
flight_id,i would like a flight from philadelphia to dallas on american airlines
flight_id,show united flights between pittsburgh and baltimore
flight_id,i would like to originate my flight in washington dc stop in denver with the destination city of san francisco
flight_id,are there any flights from denver to atlanta to pittsburgh
flight_id,show me the latest dinner flight from baltimore to oakland
flight_id,please repeat the flight departures for monday august nineteenth from denver to pittsburgh
flight_id,i need to fly from boston to denver this monday
flight_id,all flights to baltimore after 12pm
fare_id,what do these cost
flight_id,on a flight from san francisco to atlanta that leaves before 8am is there such a flight
flight_id,what flights leave chicago and arrive in detroit around 6pm next tuesday
flight_id,flights from pittsburgh to baltimore arriving between 4 and 5pm
aircraft_code,display types of aircraft departing from cleveland to dallas before noon
flight_id,what round trip flights between atlanta and denver qualify for fare code qx
flight_id,flights on twa from columbus to st. louis
flight_id,what is the earliest flight from boston to oakland that serves a meal
airline_code,of the flights available from dallas to baltimore on august third which airline has the least expensive flight
flight_id,tell me the flights from dallas to baltimore
transport_type,what ground transportation is available at denver airport
fare_id,cheapest fare from indianapolis to seattle
flight_id,i want to fly from milwaukee to orlando on either wednesday evening or thursday morning
flight_id,show me flights from philadelphia to san francisco on wednesdays
flight_id,i want a flight from atlanta to pittsburgh
restriction_code,what is the ap/57 restriction
flight_id,i would like to fly us air from orlando to cleveland in the late evening what do you have available
flight_id,please list all flights between boston and atlanta
flight_id,okay that one's great too now we're going to go on april twenty second dallas to washington the latest nighttime departure one way
flight_id,what evening flights do you have available from baltimore to philadelphia
flight_id,find a flight from washington dc to san francisco on tuesday
flight_id,what do you have tomorrow morning from pittsburgh to atlanta
flight_id,flights from denver to seattle on saturday morning on continental
flight_id,what is the latest return flight from atlanta to boston
flight_id,what flight from denver to pittsburgh arrives earliest in the morning
flight_id,show all flights from denver to san francisco
flight_id,what flights are there tomorrow from tacoma to san jose
flight_id,list all american airlines from milwaukee to phoenix on saturday
flight_id,i'd like information on flights between philadelphia and san francisco with a stop in dallas
fare_id,show me the fares from washington to oakland
count,how many airlines fly from new york to los angeles by way of milwaukee
fare_id,us 3724 baltimore to philadelphia what is the fare
flight_id,what flights go from boston to washington next tuesday
flight_id,find me the cheapest flight from boston to washington
flight_id,i want to know the cheapest way to fly from denver to oakland
airport_code,what is ewr
flight_id,what are the flights from milwaukee to orlando on wednesday night
flight_id,i would like a list of the round trip flights between indianapolis and orlando on the twenty seventh or the twenty eighth of december
flight_id,list the flights from philadelphia to san francisco via dallas
flight_id,information on american airlines from fort worth texas to philadelphia
flight_id,list all the flights from charlotte to atlanta that return around 7pm
flight_id,i want to fly dallas to san francisco on monday july eighth
flight_id,does delta airlines fly from pittsburgh to atlanta
flight_id,what is the latest afternoon flight departing san francisco and arriving in boston on november ninth
transport_type,is there ground transportation in st. louis
transport_type,i'm looking for ground transportation in dallas
flight_id,okay how about a flight on sunday from tampa to charlotte
flight_id,list daily flights from boston to oakland using continental airlines
airline_code,show me airline abbreviations
transport_type,can you find out about the ground transportation available in atlanta
flight_id,flights from pittsburgh to baltimore between 10am and 2pm
flight_id,i would like to see the daily flights from baltimore to philadelphia
flight_id,what flights are there from milwaukee to phoenix on saturday
flight_id,show me the cheapest one way flight from san francisco to boston leaving san francisco after 9pm
flight_id,what is the earliest flight in the morning to arrive in baltimore from boston
basic_type,show me the type of aircraft that canadian airlines uses
flight_id,list all flights from baltimore to atlanta after 12 noon thursday
flight_id,i'd like to fly from tampa to montreal
fare_basis_code,what does fare code qx mean
flight_id,saturday flights from las vegas to phoenix
flight_id,what are the flights from boston to san francisco leaving tomorrow
flight_id,what flights from burbank to milwaukee leave burbank tomorrow
flight_id,may i have a listing of flights from milwaukee to tacoma washington departing in the evening
flight_id,please give me information on a flight on april seventeen from philadelphia to boston as early as possible
flight_id,what is the latest flight available between san francisco and boston
flight_id,show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee
flight_id,what flights are there from boston to dallas
airport_code,what is bna
flight_id,hi i need to get a flight from memphis to salt lake city departing before 10am
flight_id,list daily flights of united airline from denver to baltimore with first class service
flight_id,list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth
flight_id,a first class flight on american to san francisco on tuesday in the next week
flight_id,show me the one way flights from atlanta to pittsburgh
airline_code,i would like to fly from boston to oakland what airlines fly from boston to oakland
airline_code,is there an airline that advertises having more flights than any other airline
transport_type,while i'm in pittsburgh what ground transportation is available
flight_id,list daily flights from denver to boston
flight_id,show me all flights which leave pittsburgh tomorrow and arrive in baltimore after 5 o'clock pm
flight_id,like information on flights from san francisco to boston on thursday morning
flight_id,show me the first flight that arrives in toronto from cincinnati
flight_id,flights from pittsburgh to baltimore between 10am and 2pm
meal_description,what does s/ designate as a meal
flight_id,show me the flights from san diego to newark
flight_id,is there a flight leaving san francisco to denver
flight_id,list the flights from pittsburgh to san francisco on thursday
flight_id,what flights are available friday afternoon from philadelphia to oakland california
fare_id,list all round trip fares from phoenix to washington
flight_id,what are all flights from boston to pittsburgh on wednesdays
flight_id,do you have a united flight from dallas to san francisco
flight_id,show me the flights from boston to denver
flight_id,from washington to atlanta
flight_id,show me flights from dallas to baltimore
transport_type,what is the ground transportation available in denver
flight_id,list all flights from boston to san francisco on united airlines
flight_id,flights from houston to los angeles departing after 1026
aircraft_code,what type of aircraft is used on the first flight from philadelphia to dallas in the morning
flight_id,give me flights from baltimore to denver on united that offer first class
flight_id,show me the evening flights from philadelphia to baltimore
flight_id,list nonstop flights from houston to dallas which arrive before midnight
airline_code,can i take a single airline from la to charlotte to newark back to la
flight_id,i would like to fly on twa from baltimore to san francisco
fare_id,what is the round trip fare on continental 1291 from dallas to san francisco and return
flight_id,i want to fly from atlanta to philadelphia
ground_fare,and how much does it cost to travel from boston airport to downtown
state_code,in denver what kind of ground transportation is there from the airport to downtown
fare_id,what is the cheapest coach fare from dallas to denver round trip
fare_id,what are the lowest one way fares from pittsburgh to atlanta
flight_id,show me all flights from san diego to new york nonstop
flight_id,find a flight from toronto to san diego with a layover in san francisco on air canada
flight_id,show me return flights from cincinnati to salt lake city nonstop
flight_id,i'd like a nonstop flight from atlanta to baltimore that gets in around 7pm
flight_id,please show me the flights from las vegas to detroit on the twenty eighth
flight_id,only show continental flights
flight_id,i'm in miami and i'd like to travel to las vegas on sunday
flight_id,does midwest express serve baltimore
flight_id,i would like to book a flight on june first from los angeles to pittsburgh in the late afternoon
flight_id,how do i get from boston to pittsburgh
flight_id,flights from washington august second
flight_id,i want a flight from denver to atlanta
flight_id,give me all nonstops from new york to vegas that arrive on a sunday
flight_id,i'd like to fly from boston to baltimore
fare_id,first class fares from dallas to baltimore please
fare_id,what is the cheapest fare from baltimore to dallas in any class
flight_id,show me the flights from denver to westchester county
flight_id,please list all first class flights on united from denver to baltimore
flight_id,what are all flights from boston to denver
flight_id,i want to arrive in detroit around 6pm and i'm leaving from chicago
flight_id,please show me flights from boston to denver with a stopover in philadelphia
flight_id,please book for me a flight on twa from washington dc to san francisco earliest possible time
flight_id,i need a list of late afternoon flights from st. louis to chicago
fare_id,what are the fares for flights from charlotte to newark on tuesday and wednesday
flight_id,show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7pm
flight_id,would you be able to put me on a flight with delta leaving the morning of august twenty seventh from baltimore to san francisco
airline_code,what kind of airline is flight ua 281 from boston to denver
flight_id,what flights go from boston to atlanta
flight_id,what is the latest afternoon flight i can get from dallas to san francisco on first class
airline_code,show me first class airlines from san francisco to pittsburgh on next tuesday first class only
transport_type,list ground transportation options at phoenix
flight_id,what's the cheapest one way flight from oakland to washington dc
flight_id,what flights from kansas city to denver after 845 in the morning
flight_id,what northwest airline flights leave denver before noon
flight_id,flights from newark new jersey to cleveland ohio
flight_id,list the morning flights between atlanta and dallas
flight_id,show me the economy flights from baltimore to dallas
flight_id,what flights are currently available between boston and dallas fort worth
flight_id,what flights go from dallas to san francisco before 6 o'clock sunday afternoon
flight_id,what flights from st. paul to kansas city on friday with breakfast served
flight_id,now i need flight information leaving atlanta and arriving in baltimore in the afternoon
flight_id,first class american flight from philadelphia to dallas on wednesday
flight_id,morning flights out of san francisco arriving boston afternoon
flight_id,i need a flight from toronto to san diego with a layover in washington dc on air canada
flight_id,please show me the return flight number from toronto to st. petersburg
transport_type,please list ground transportation in atlanta
departure_time,please give me flight schedules from pittsburgh to philadelphia
flight_id,what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two
flight_id,i would like to fly from boston to baltimore
flight_id,what are the flights from pittsburgh to denver
flight_id,i would like the first flight from toronto to montreal next friday
transport_type,what is the ground transportation available in boston
flight_id,i would like to see the flights from baltimore to philadelphia please
flight_id,i'd like to see the flights from baltimore to philadelphia
flight_id,i want to fly from boston to denver and i don't want any stopovers and i'd like to fly only during the afternoon
flight_id,what is the first flight from boston to san francisco on saturday
airline_code,show me a list of all the airlines that offer business class service
stop_airport,where do the flights from boston to oakland stop
flight_id,what flights go from charlotte to baltimore in the morning
departure_time,what time are the flights from baltimore to san francisco
flight_id,requesting flight information from boston to denver on wednesday
flight_id,which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia
flight_id,is there a delta flight from boston to san francisco that stops in denver
city_code,which cities does united airlines service
flight_id,show me flights from atlanta to baltimore
airline_code,what does ea mean
flight_id,now show me the flights from pittsburgh to baltimore
transport_type,what ground transportation is available in denver
flight_id,i need a flight from cincinnati to san jose leaving after 6 in the evening
flight_id,what is your last trip on august twenty seventh from washington to boston
flight_id,what flights from detroit to st. petersburg
flight_id,i would like to fly from dallas to denver on the morning of august twenty seventh leaving at 650
transport_type,ground transportation please in the city of boston between airport and downtown
flight_id,what flights are there from dallas to pittsburgh on monday morning
flight_id,show me the flights from boston to oakland
flight_id,i would like to leave early in the morning
flight_id,i would like a flight from atlanta to denver
fare_id,what does it cost to fly from boston to san francisco on united airlines flight 21
flight_id,i would like to fly from boston to atlanta
airline_code,show me the airlines with first class flights
flight_id,what's the earliest flight from boston to philadelphia
miles_distant,what is the distance between pittsburgh airport and downtown pittsburgh
flight_id,what are the flights from tacoma to san jose on wednesday the nineteenth
flight_id,show me the flights from miami to san diego with one stop in denver
flight_id,show me all united flights from denver to san francisco for september first 1991
flight_id,show me all twa flights please
flight_id,list all flights from indianapolis to seattle
fare_id,what is the cost for these flights from baltimore to philadelphia
fare_id,cheapest fare from nashville to seattle
flight_id,show me the flights before 11am on august second from boston to denver on delta
flight_id,flights from oakland to san francisco on january twenty first 1992
flight_id,what is the earliest flight that i can get from bwi to boston logan
flight_id,show me all flights from boston to detroit
flight_id,what nonstop flights between atlanta and washington leave atlanta after 6 o'clock pm
flight_id,show me the earliest flight from denver to las vegas
flight_id,i would like to fly from pittsburgh to atlanta
departure_time,show me the schedule for airlines leaving pittsburgh going to san francisco for next monday
airline_code,what airlines fly between atlanta and san francisco
flight_id,show me the flights from atlanta to boston
state_code,round trip fares from baltimore to philadelphia under 1000 dollars
flight_id,are there any american airlines flights flying into pittsburgh between 12 and 4 in the afternoon
flight_id,is there a flight from atlanta to san francisco that stops over in denver
flight_id,please show me the flights from denver to baltimore between 10am and 2pm
transport_type,show me ground transportation in denver during weekdays
fare_id,show me round trip tickets from new york to miami
flight_id,give me flights from pittsburgh to baltimore
transport_type,ground transportation from airport in boston to downtown boston
flight_id,i'd also like to see a list of the flights from pittsburgh to atlanta
flight_id,flights from atlanta to washington dc
flight_id,show flights between boston and denver
flight_id,show me flights from pittsburgh to atlanta on monday morning
flight_id,i'd like flight information from dallas fort worth to boston on tuesday
flight_id,cheapest flight from miami to indianapolis
flight_id,yes i'd like a flight from long beach to st. louis by way of dallas
flight_id,what flights from new york to los angeles after 10am
flight_id,i'd like to see all the one way flights from denver to pittsburgh
fare_id,what are the coach fares for flights from newark to la leaving after 3pm
flight_id,on tuesday i'd like to find a flight from detroit to st. petersburg that arrives before 10pm
flight_id,show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon
flight_id,give me flights from atlanta to baltimore
fare_id,what is the fare on the first flight from atlanta to denver on thursday morning
flight_id,i need a flight from boston to san francisco via dallas fort worth
flight_id,show me the latest flight from denver to boston
aircraft_code,what airplane types fly from pittsburgh to baltimore
flight_id,i'd like to have flight from denver to pittsburgh
flight_id,looking for a flight from dc to denver colorado
flight_id,from denver to washington dc on monday november eleventh 1991
airport_code,does the philadelphia airport have a name
flight_id,what is the earliest flight from memphis to las vegas
flight_id,flights from cincinnati to salt lake city
transport_type,show me ground transportation in baltimore
flight_id,can you show me flights that are economy class from baltimore to dallas
flight_id,what are the flights from denver to baltimore on august tenth
flight_id,i'd like to book a flight from denver to pittsburgh and i'd like to go on eastern airlines
flight_id,is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991
flight_id,show me the itinerary of the connecting flight from boston to denver that departs boston at 10am
flight_id,what are the flights from cleveland to indianapolis on wednesday may twelfth on either twa delta or continental
flight_id,show me the latest flight to love field
restriction_code,explain restriction ap80
flight_id,show me the flights into love field
transport_type,ground transportation in san jose
flight_id,what flights go from philadelphia to san francisco with a stopover in dallas
fare_basis_code,what does fare code qo mean
flight_id,show me the flights on delta or twa which go through atlanta
aircraft_code,what's the smallest plane that flies from pittsburgh to baltimore on eight sixteen
flight_id,please give me the flights from boston to pittsburgh on thursday of next week
flight_id,please show me all round trip flights from burbank to tacoma
flight_id,show me the first class flights from denver to baltimore
flight_id,show me all the flights from philadelphia to cincinnati
flight_id,could you give me a flight between pittsburgh and philadelphia
flight_id,tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth
flight_id,what is the cheapest flight from denver to pittsburgh leaving on september twenty eighth
flight_id,show me all flights from dallas to san francisco
flight_id,list all american airlines flight from milwaukee to phoenix on sunday
flight_id,are there any flights from boston to san francisco with a stopover in dallas
fare_id,what is the thrift economy flight fare from washington to san francisco
transport_type,i need information on ground transportation between airport and downtown in the city of boston
flight_id,give me the latest flight tomorrow on united airlines from milwaukee to tacoma
flight_id,what are all flights from denver to philadelphia on saturday
flight_id,give me all the flights from new york to miami round trip
flight_id,i want to fly from milwaukee to orlando on wednesday evening
flight_id,show me all flights from pittsburgh which leave tomorrow and arrive in boston
flight_id,list all flights going from boston to atlanta after 6 o'clock pm on wednesday
flight_id,i want wednesday flights from atlanta to washington dc
flight_id,i want to leave oakland and arrive in boston at 5 o'clock in the afternoon
flight_id,show me the flights from baltimore to oakland
flight_id,i want to fly from boston to denver with a stop in philadelphia
flight_id,i want to fly philadelphia to san francisco on july eighth
flight_id,i'd like to find a flight from charlotte to las vegas and make a stop in st. louis
departure_time,what is the total schedule for delta's flights to all airports
city_code,what are the cities served by delta airlines
flight_id,what is the latest flight from philadelphia to boston
flight_id,hello i'd like a delta flight from atlanta to boston
flight_id,i'd like a flight from las vegas to detroit on monday
aircraft_code,what's the smallest plane flying from pittsburgh to baltimore on december seventeenth
airline_code,is there an airline that has a flight from philadelphia to san francisco with a stop in dallas
flight_id,i'm looking for a flight traveling from boston to denver one way and the cheapest way possible
flight_id,list the flights from denver to baltimore
flight_id,does midwest express have any flights from montreal to nashville
flight_id,show me the flights from denver to atlanta
flight_id,list daily flights from boston to oakland using twa
flight_id,show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10am
flight_id,show me morning flights from atlanta to philadelphia
flight_id,what's the latest flight i can get from dallas to boston
flight_id,yes i would like to find what flights are available from atlanta to boston on the morning of july seventh
flight_id,flights from miami to cleveland
fare_id,what is the price of flights from indianapolis to memphis
flight_id,show me the flights between atlanta and washington dc for wednesdays
flight_id,i need a return flight from chicago to kansas city leaving chicago around 7 in the evening next thursday
transport_type,show me ground transportation in dallas please
flight_id,i'd like a nonstop flight from indianapolis to san diego that serves dinner what's available
flight_id,i would like to make a one way flight from boston to atlanta
flight_id,show me the flights out of love field
flight_id,flight from washington dc to salt lake city
flight_id,do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas
flight_id,what are all the flights from boston to dallas
flight_id,what flights are available from pittsburgh to baltimore on thursday morning
flight_id,show me all flights from baltimore to dallas
flight_id,is there a flight on eastern airlines from boston to denver
flight_id,show me flights from philadelphia to denver on a monday
flight_id,i would like flights between boston and atlanta on july eleven departing at one in the afternoon
flight_id,from denver to pittsburgh on april twenty first i need the cheapest flight
flight_id,what flights are there from dallas to pittsburgh on monday morning
flight_id,flights from atlanta to washington dc on thursday morning
transport_type,is there limousine service available at baltimore airport
flight_id,what flights are there from pittsburgh to dallas on wednesday morning
flight_id,now show me the flights from denver to atlanta
flight_id,i need a flight from san diego to indianapolis leaving in the afternoon on tuesday
flight_id,i want a flight on twa from boston to san francisco
flight_id,show flights and fare information from pittsburgh connecting through denver to oakland
basic_type,show me the type of aircraft that cp uses
flight_id,earliest flight from atlanta to philadelphia
flight_id,i need a flight from montreal quebec to san diego california leaving this sunday
fare_id,coach fares only weekdays for denver to boston
flight_id,show me all flights from pittsburgh to philadelphia which arrive before 8 o'clock am on wednesday
fare_id,i would like to fly to denver for under 500 dollars please show me the airfares between pittsburgh and denver
flight_id,please list the cheapest flights from dallas to baltimore arriving on may seventh
flight_id,i want to fly from philadelphia to dallas with a stop in atlanta on a breakfast flight
fare_basis_code,please explain fare code f
booking_class,what is fare code h
flight_id,please find a flight on delta from philadelphia to san francisco and give me the flight numbers
flight_id,san francisco to boston please with a stopover in denver
flight_id,can you list flights from washington to toronto with the lowest one way fares
flight_id,what northwest flights stop in denver
flight_id,i also need service from dallas to boston arriving by noon
flight_id,what do you have tomorrow after 5 o'clock from atlanta to san francisco
flight_id,give me all flights from new york city to las vegas that arrive on a sunday
flight_id,flight information from denver to san francisco
flight_id,show me flights available from atlanta to baltimore leaving on monday morning
flight_id,also show me flights from san francisco to pittsburgh on tuesday
airline_code,which airlines fly into and out of denver
flight_id,display all flights from dallas to boston on july thirtieth
flight_id,what is the earliest flight i can get from baltimore to boston
flight_id,are there any flights from boston to san francisco stopping in denver
flight_id,i need a flight from st. petersburg to charlotte which will get me into charlotte by 5pm or as soon thereafter as possible
flight_id,i'd like to fly early tomorrow from columbus to minneapolis
flight_id,flights from ontario to orlando
count,how many flights does american airlines have with a class of service code f
flight_id,i'd like to see flights from baltimore to atlanta
flight_id,show me flights leaving from san francisco to denver on september thirtieth
flight_id,philadelphia to san francisco please
transport_type,what's the ground transportation from oakland to san francisco
flight_id,show me the flights from baltimore to philadelphia
flight_id,show all flights on united airlines from san francisco to denver to washington dc
flight_id,i'd like to leave atlanta in the afternoon and arrive in philadelphia at 5pm
flight_id,atlanta to pittsburgh
flight_id,flight information from san francisco to pittsburgh
flight_id,show me all flights both direct and connecting to either san francisco or oakland from boston that arrive before 2pm
flight_id,on continental airlines any class service from san francisco to pittsburgh
aircraft_code,can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555
flight_id,i would like information on twa flights from washington to philadelphia
flight_id,display all flights from boston to baltimore on july thirty first
flight_id,show me flights from milwaukee to orlando on wednesday after 6pm
flight_id,list daily flights from denver to baltimore with first class service
flight_id,what flights are there from atlanta to washington early on thursday mornings
flight_id,what's the first flight after 1pm leaving washington to denver
flight_id,i'd like a flight from washington that stops in denver and goes on to san francisco
fare_id,what is the fare for flights from denver to atlanta
transport_type,show me ground transportation in boston
flight_id,list all flights going from boston to atlanta before 7am on thursday
flight_id,give me the flights and fares on december twenty seventh from indianapolis to orlando
flight_id,show me all flights from new york to milwaukee on northwest airlines departing at 720am
flight_id,show me flights from san francisco to minneapolis
flight_id,find travel arrangements for a round trip flight from boston to pittsburgh arriving after 8pm
airline_code,what airline uses the code hp
flight_id,what flights are available with q fares from boston to pittsburgh
flight_id,what are the flights from tacoma to san jose also on tuesday the eighteenth of may
flight_id,i would like information on any flights from pittsburgh to san francisco leaving thursday evening
flight_id,now show me the flights from memphis to cleveland
flight_id,i want to go from boston to atlanta on monday
airport_code,what is ewr
flight_id,show me the flights from philadelphia to boston
flight_id,show me the evening flights from atlanta to washington on wednesdays
city_code,what cities are served by canadian airlines international
booking_class,what does fare code q mean
airport_code,what does ewr mean
transport_type,what ground transportation is available at the boston airport
flight_id,show me continental flights leaving chicago on saturday morning
count,how many us air flights leave from washington
transport_type,what ground transportation is available at the baltimore airport
state_code,okay that sounds great let's go from atlanta on april twenty one in the morning to dallas least expensive fare one way
state_code,i would like to know some information on flights leaving philadelphia arriving in pittsburgh in the afternoon
transport_type,what's the ground transportation like at pittsburgh
flight_id,what flights are there between washington dc and san francisco after 6pm on wednesday
flight_id,show me the flights from boston to pittsburgh leaving wednesdays and thursdays
transport_type,fine can you give me information on ground transportation in washington dc to downtown
flight_id,please show me flights available from pittsburgh to atlanta on a weekday
flight_id,what flights leave from atlanta to boston on june twenty ninth in the afternoon
flight_id,show me the flights from boston to san francisco leaving after 4pm on friday
airline_code,which airline has the most business class flights
flight_id,does american airlines flight from long beach to st. louis stopping in dallas serve lunch
flight_id,flights from chicago to denver on continental on saturday morning
flight_id,list flights from cincinnati to san jose friday evening
flight_id,i would like a flight from philadelphia to dallas that makes a stop in atlanta
flight_id,please list flights from atlanta to philly
aircraft_code,what kind of aircraft does delta fly before 8am on august second from boston to denver
flight_id,what's the earliest flight from san jose to houston
flight_id,show me flights from philadelphia to oakland on friday
flight_id,is there a twa flight from las vegas to new york
transport_type,in pittsburgh i'd like to rent a car
